playlist_id,playlist_name,collection_date,mean_track_date,playlist_type,nb_tracks,nb_clusters,nb_clusters_2,hh_index,hh_index_2,distances,distances_2,distances_3,stirling_index,stirling_index_2,playlist_followers
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-05-06,2021-07-12 13:55:12,Charts,50,3,5,3576.0,2616.0,0.458130230915213,0.647761866769289,0.891814746121518,[[0.21622788]],[[0.28255765]],794684
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-05-13,2021-07-29 14:41:37,Charts,49,3,8,3719.28363182007,1803.41524364848,0.468763549620135,0.780195578327608,0.888039257693637,[[0.21459043]],[[0.32370593]],795353
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-05-20,2021-07-19 00:00:00,Charts,50,2,10,5648.0,1456.0,0.330685085564594,0.843311023541899,0.888323907974312,[[0.14391415]],[[0.33324988]],796013
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-05-27,2021-08-09 08:09:36,Charts,50,4,8,3144.0,1640.0,0.579503161526512,0.755650688281501,0.878467872524711,[[0.25047973]],[[0.31600969]],796743
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-06-03,2020-11-29 04:48:00,Charts,50,3,10,3736.0,1328.0,0.455173567803337,0.776171799081655,0.8609629026385,[[0.20718295]],[[0.32864225]],797431
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-06-10,2021-04-19 05:16:48,Charts,50,3,6,4216.0,2560.0,0.499777048361082,0.708510846660739,0.863043837204721,[[0.20438052]],[[0.29086572]],798136
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-06-17,2021-05-12 13:55:12,Charts,50,3,7,3864.0,1928.0,0.466643429446078,0.704749945452618,0.883687149644227,[[0.2156797]],[[0.31190636]],798934
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-06-24,2021-03-23 23:02:24,Charts,50,2,9,5392.0,1592.0,0.343737117645303,0.818454999574728,0.889744744799217,[[0.15839406]],[[0.32898604]],799772
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-07-01,2021-03-27 16:48:00,Charts,50,3,9,3912.0,1752.0,0.459319529134288,0.830527521027233,0.847446356202419,[[0.20054015]],[[0.30037126]],801225
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-07-08,2021-05-18 22:31:50,Charts,49,3,9,4019.15868388172,1670.13744273219,0.453622307613191,0.834506638267877,0.803467230539598,[[0.17791975]],[[0.29241314]],802324
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-07-15,2021-04-27 19:40:48,Charts,50,2,9,5200.0,1560.0,0.276112324693693,0.834715241247139,0.831311778042523,[[0.13253392]],[[0.30099484]],803314
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-07-22,2021-05-11 05:45:36,Charts,50,2,10,5032.0,1544.0,0.303320900677368,0.916106718017077,0.863561943267628,[[0.15068982]],[[0.31986843]],804509
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-07-29,2021-05-18 18:14:24,Charts,50,3,10,3984.0,1904.0,0.473498343374337,0.870734018912236,0.84983663389097,[[0.20605116]],[[0.31364417]],805645
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-08-05,2021-05-25 04:19:12,Charts,50,3,10,4248.0,1760.0,0.442323321360491,0.838288503892534,0.83892139636709,[[0.19325403]],[[0.30457472]],806899
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-08-12,2021-05-21 18:43:12,Charts,50,4,10,3816.0,1784.0,0.652981284275904,0.827698936989615,0.83198339726892,[[0.22093407]],[[0.30652712]],808277
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-08-19,2021-05-05 12:57:36,Charts,50,2,5,5200.0,3112.0,0.3072971043531,0.744009643791751,0.84612703537784,[[0.14750261]],[[0.23771429]],809567
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-08-26,2021-04-23 20:38:24,Charts,50,3,9,4496.0,1336.0,0.485355322171807,0.703964550481085,0.821435813704458,[[0.17884078]],[[0.29507473]],810638
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-09-02,2021-05-15 16:19:12,Charts,50,2,4,5512.0,3544.0,0.331933863335784,0.581339064208385,0.886203613590215,[[0.14897192]],[[0.23113681]],810810
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-09-09,2021-06-22 22:33:36,Charts,50,2,7,5392.0,1904.0,0.299235617809425,0.810866074447159,0.881747438079659,[[0.13788777]],[[0.28788423]],810988
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-09-16,2021-02-26 01:26:24,Charts,50,2,7,6152.0,1904.0,0.343325934868351,0.712824465394329,0.872475915724038,[[0.13211182]],[[0.29678022]],811732
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-09-23,2022-04-30 06:14:24,Charts,50,2,8,5512.0,1808.0,0.317460063970483,0.843693642659098,0.821437456948021,[[0.14247608]],[[0.28636254]],812806
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-09-30,2022-03-24 06:14:24,Charts,50,2,5,5288.0,2240.0,0.338254766482815,0.606267873559242,0.916283106319387,[[0.15938565]],[[0.27665806]],813622
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07,2022-01-14 22:33:36,Charts,50,2,8,5800.0,1600.0,0.336601169874141,0.783949462024743,0.908365372553555,[[0.14137249]],[[0.31421491]],814286
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-14,2022-01-14 08:38:24,Charts,50,3,7,3752.0,1728.0,0.460176455040869,0.687187503281467,0.904455407561132,[[0.20935487]],[[0.30473307]],815036
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-21,2022-01-16 18:43:12,Charts,50,2,8,5072.0,1400.0,0.277704809031158,0.669386411254547,0.891017786867617,[[0.13685293]],[[0.30596608]],815781
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-28,2022-01-16 11:31:12,Charts,50,2,7,5128.0,1608.0,0.282526168713509,0.66052384577006,0.884820933808919,[[0.13764675]],[[0.29643665]],816404
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-11-04,2022-01-21 12:57:36,Charts,50,3,7,4144.0,1616.0,0.455515899677197,0.664788686355724,0.837697783389343,[[0.18522029]],[[0.28698603]],816813
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-11-11,2022-03-03 18:14:24,Charts,50,3,6,3368.0,1848.0,0.445261273423681,0.642893729646056,0.905867922138362,[[0.22109732]],[[0.30175082]],817134
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-11-18,2022-01-03 18:43:12,Charts,50,2,9,6352.0,1400.0,0.340254427800419,0.77561737735827,0.9019721681202,[[0.12412482]],[[0.32894827]],817484
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-11-25,2022-03-20 06:43:12,Charts,50,2,6,7048.0,2008.0,0.361641088769296,0.675765828971328,0.887518357232503,[[0.10675645]],[[0.27942381]],818291
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-12-02,2022-01-10 14:52:48,Charts,50,2,9,5968.0,1416.0,0.315851882974279,0.735087747936488,0.881725405852733,[[0.12735148]],[[0.320608]],818739
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-12-09,2022-01-20 21:07:12,Charts,50,3,10,3336.0,1304.0,0.417593093960723,0.744713529955583,0.843911905614982,[[0.2088715]],[[0.31210839]],819413
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-12-16,2021-07-07 15:50:24,Charts,50,3,9,3336.0,1696.0,0.41919193073989,0.864821358793152,0.864679265578162,[[0.20927859]],[[0.31089943]],820312
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-12-23,2020-02-05 14:24:00,Charts,50,2,10,6568.0,1392.0,0.31280342480793,0.832148369007081,0.879823572043218,[[0.10735414]],[[0.31168287]],821128
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-12-30,2021-09-04 00:28:48,Charts,50,2,9,5800.0,1528.0,0.285402039413785,0.810329019987505,0.886109938868089,[[0.11986886]],[[0.31017836]],821722
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-01-06,2021-07-29 10:04:48,Charts,50,2,8,5392.0,1688.0,0.275796520673263,0.809665554020343,0.895046062493966,[[0.12708704]],[[0.30141822]],822481
